#,ZONA,ORDEN,NUM. ESC.,DEPARTAMENTO,CURSO,DIVISION,TURNO,HORAS,MA,MATERIA,DESI/ORI,BI
170,1,181871,4-191,MALARGÜE,0,0,A,0,20,M.E.P. (INFORMÁTICA),R1484/89,CORA 15
171,0.4,282673,4-192,RIVADAVIA,5,3,T,4,78,ARQUITECTURA DE HARDWARE,R0133/21,CREA 08
172,0.4,282675,4-192,RIVADAVIA,5,3,T,4,80,PROGRAMACIÓN,R0133/21,CREA 08
173,1,259643,4-194,SAN MARTIN,3,3,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R0077/17,CREA 06
174,0.7,180344,4-197,SAN RAFAEL,0,0,A,0,20,M.E.P. (INFORMÁTICA),R0042/11,CREA 30
175,0.7,239927,4-199,SANTA ROSA,4,1,T,3,285,CIENCIAS Y TIC (TIC),R2208/18,RENU 25
176,0.7,239942,4-199,SANTA ROSA,4,2,T,3,285,CIENCIAS Y TIC (TIC),R2208/18,RENU 25
177,1,243012,4-200,MALARGÜE,4,1,A,3,285,CIENCIAS Y TIC (TIC),R2383/15,PLAN 01
178,0.4,238086,4-204,SAN CARLOS,4,1,M,3,368,CIENCIAS SOCIALES Y TIC (TIC),R2208/18,RENU 14
179,0.4,238098,4-204,SAN CARLOS,4,2,M,3,368,CIENCIAS SOCIALES Y TIC (TIC),R2208/18,RENU 14
180,1,241414,4-205,MALARGÜE,4,1,A,3,285,CIENCIAS Y TIC (TIC),R2208/18,RENU 02
181,1,259113,4-207,LAVALLE,4,1,A,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R1484/89,TRAS 01
182,1,178290,4-214,TUNUYAN,0,0,M,0,20,M.E.P. (INFORMÁTICA),R2208/18,RENU 02
183,0,241040,4-218,LAS HERAS,4,1,T,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R0098/16,BAJA 16
184,0,283356,4-218,LAS HERAS,4,2,T,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R0083/15,CREA 19
185,0,177861,4-226,LAS HERAS,0,0,T,0,20,M.E.P. (INFORMÁTICA),R0194/10,CREA 07
186,0,239409,4-226,LAS HERAS,4,1,T,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R2383/15,PLAN 01
