#,ZONA,ORDEN,NUM. ESC.,DEPARTAMENTO,CURSO,DIVISION,TURNO,HORAS,MA,MATERIA,DESI/ORI,BI
106,0.3,282456,4-120,SAN MARTIN,3,2,T,4,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R1484/89,CORA 15
107,0.3,37409,4-121,GUAYMALLEN,0,0,T,0,20,M.E.P. (INFORMÁTICA),R2208/18,BAJA 15
108,0.3,228041,4-121,GUAYMALLEN,3,3,T,4,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R1949/15,RENU 01
109,0.3,228054,4-121,GUAYMALLEN,3,4,T,4,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,00000/00,RENU 17
110,0.7,282464,4-123,SAN CARLOS,3,2,T,4,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R1484/89,COTC 15
111,0.3,242753,4-129,SAN RAFAEL,4,1,T,3,368,CIENCIAS SOCIALES Y TIC (TIC),R2208/18,RENU 10
112,0,152677,4-130,SAN RAFAEL,0,0,A,0,20,M.E.P. (INFORMÁTICA),R0830/06,TRAS 09
113,0,177783,4-131,GODOY CRUZ,0,0,A,0,20,M.E.P. (INFORMÁTICA),R1484/89,COTC 15
114,0,242328,4-131,GODOY CRUZ,4,1,M,3,188,EDUCACIÓN Y TIC (TIC),E0000/02,INGR 01
115,0,242340,4-131,GODOY CRUZ,4,2,M,3,188,EDUCACIÓN Y TIC (TIC),R1484/89,COTA 15
116,0,283088,4-131,GODOY CRUZ,4,4,M,3,278,CIENCIAS NATURALES Y TIC (TIC),R0218/21,CREA 01
117,0,50117,4-132,CAPITAL,0,0,M,0,20,M.E.P. (INFORMÁTICA),R2208/18,BAJA 25
118,0,178868,4-133,GUAYMALLEN,0,0,T,0,20,M.E.P. (INFORMÁTICA),R0567/07,CREA 12
119,0,200854,4-133,GUAYMALLEN,3,1,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,COTC 15
120,0,200892,4-133,GUAYMALLEN,3,2,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,COTC 15
121,0,200908,4-133,GUAYMALLEN,3,3,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,E0000/02,INGR 01
122,0,200935,4-133,GUAYMALLEN,3,4,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R0326/15,PLAN 09
123,0.4,203288,4-134,SAN MARTIN,3,1,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,TRAS 01
124,0.4,203340,4-134,SAN MARTIN,3,3,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R0326/15,PLAN 09
125,0,200086,4-136,GUAYMALLEN,3,1,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R2208/18,RENU 16
